Maximum Number of Users in a Cell,IRAT/Session Continuity to 2G,Secondary_Cell_Performance,Carrier Number DL (earfcn),Inter Frequency Handover Success Rate (%),Traffic_Volume_and_Payload_Metrics
0.12055837563451778,0.20364741641337386,0.3365398703270048,1.0,0.9803809834,0.29406083020033436
0.13959390862944165,0.29711246200607905,0.2175379307588928,1.0,0.9963589287000001,0.32174643392589697
0.05329949238578681,0.026595744680851064,0.16499834081552892,0.0,0.9968879668,0.13856074358049386
0.07614213197969544,0.13601823708206687,0.2027245343375607,0.0,0.9974296946,0.20274659673531795
0.07233502538071067,0.067629179331307,0.1331931523097754,0.0,0.9738671114999999,0.15881324316320947
0.0799492385786802,0.16185410334346503,0.3156217055567006,1.0,0.9941120306000001,0.2586844899264063
0.11928934010152287,0.08738601823708207,0.13176934037996973,1.0,0.9908579466,0.3445910823571067
0.09390862944162438,0.1838905775075988,0.23811571708302115,1.0,0.9735559347,0.2594932488566794
0.0368020304568528,0.05167173252279635,0.0,1.0,0.9971469329999999,0.10545148685169771
0.18781725888324877,0.16109422492401215,0.0,1.0,0.9954286571000001,0.3198898043654627
0.2614213197969544,0.2978723404255319,0.0,1.0,0.9976580796000001,0.5117303729493886
0.03299492385786802,0.14969604863221883,0.0,0.0,0.9993373095,0.08288896159234495
0.10659898477157362,0.13297872340425532,0.0,0.0,0.9920127796,0.18729769896659604
0.11802030456852794,0.270516717325228,0.0,0.0,0.9845402766,0.19891604922019304
0.1104060913705584,0.46200607902735563,0.03506935098373066,1.0,0.9971364938000001,0.3907398072557418
0.1700507614213198,0.4627659574468085,0.1315673542699968,1.0,0.9964523282000001,0.480725478749336
0.08883248730964467,0.24088145896656535,0.05003395206920116,1.0,0.9920444033,0.25902170463450813
0.05203045685279189,0.3966565349544073,0.044403299836653615,0.0,0.9980171844000001,0.16786683332169428
0.08883248730964467,0.5030395136778115,0.0880292284710033,0.0,0.9966023541,0.24387414946149572
0.05329949238578681,0.20516717325227962,0.03521105437097306,0.0,0.9983967936000001,0.1474623047451543
0.2322335025380711,0.21808510638297873,0.10581501899229673,0.0,0.9946294307,0.37038927711866515
0.1269035532994924,0.135258358662614,0.1406197258240999,0.0,0.9979777553,0.16802248627265617
0.12817258883248733,0.2712765957446808,0.15107233606419468,0.0,0.9918378094000001,0.4104789327334525
0.2880710659898478,0.31155015197568386,0.3210893665032027,1.0,0.9930915371000001,0.46235335003158845
0.20050761421319802,0.24620060790273557,0.08229212474787875,1.0,0.9878206311,0.2610243563359758
0.17131979695431473,0.5083586626139818,0.5692998123965679,1.0,0.9897877453,0.5218097241264051
0.06598984771573604,0.18768996960486323,0.10538427644483381,0.0,0.9977573447000001,0.15349070529036088
0.05076142131979697,0.0972644376899696,0.09405460357439717,0.0,0.9990828492999999,0.13315968428772806
0.10152284263959394,0.27887537993920974,0.13825210239444535,0.0,0.9996307238000001,0.2707024677452954
0.13578680203045687,0.1952887537993921,0.10426433742383699,1.0,0.9745263697000001,0.38066631241063176
0.06725888324873097,0.06155015197568389,0.14599423346871093,1.0,0.9991529013,0.19465801976942185
0.16878172588832488,0.42325227963525835,0.19092660567110825,1.0,0.9933931899,0.4602823418729991
0.1637055837563452,0.4126139817629179,0.0,1.0,0.9619577308,0.4508495627921382
0.1104060913705584,0.45288753799392095,0.0,1.0,0.9801894918000001,0.3380446718818239
0.09390862944162438,0.26595744680851063,0.0,1.0,0.9953623188,0.2328021998974617
0.058375634517766506,0.12006079027355623,0.0,0.0,0.9961659592,0.15982066479500698
0.06979695431472083,0.23632218844984804,0.0,0.0,0.9872640437,0.17706311996076893
0.04822335025380712,0.15425531914893617,0.0,0.0,0.9973901099,0.13174094960735414
0.0685279187817259,0.1717325227963526,0.04558764239933778,0.0,0.9937853107,0.16761376945222348
0.08375634517766498,0.3434650455927052,0.10371549472435003,0.0,0.9962143853000001,0.242576066181381
0.1319796954314721,0.25,0.12011064980732263,0.0,0.9909416474,0.3608393506796788
0.1104060913705584,0.324468085106383,0.11781006316465675,1.0,0.9971567831,0.2970541739803529
0.11928934010152287,0.5227963525835866,0.26067135254767443,1.0,0.9971757322000001,0.36423187623254355
0.19670050761421323,0.5296352583586627,0.3836419106938275,1.0,0.9885357240000001,0.5511400968719671
0.08629441624365483,0.10714285714285714,0.10040137856329824,0.0,0.9832075931,0.2150071778510976
0.08121827411167513,0.11550151975683891,0.16095221845038327,0.0,0.9826839827000001,0.17536592338645868
0.1434010152284264,0.21580547112462006,0.053367820569153596,1.0,0.9843606256,0.24729926569941627
0.20177664974619294,0.310790273556231,0.2898702040400413,1.0,0.9705932203000001,0.4251586487209317
0.09390862944162438,0.04331306990881459,0.08688457653282738,1.0,0.9869918699,0.20246315947096838
0.16751269035532995,0.1405775075987842,0.19539109613028469,0.0,1.0,0.3423633029181153
0.11548223350253808,0.18009118541033434,0.1233804266761929,0.0,0.9972270364000001,0.2886130168760531
0.09390862944162438,0.11094224924012158,0.13455569180050722,0.0,0.9982886480000001,0.2882077753142358
0.15609137055837566,0.32674772036474165,0.27098333309280226,1.0,0.9913968403,0.4137765323284104
0.11548223350253808,0.4703647416413374,0.28065841617529047,1.0,0.9902461377,0.3435099949791948
0.11421319796954317,0.19376899696048633,0.21300783710185528,1.0,0.9897692263000001,0.3413439765284791
0.09644670050761424,0.050911854103343465,0.03251489310157752,0.0,1.0,0.1627743800792505
